"entrezgene","external_gene_name","gene_biotype","description"
114049,"BUD23","protein_coding","BUD23, rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:16405]"
114879,"OSBPL5","protein_coding","oxysterol binding protein like 5 [Source:HGNC Symbol;Acc:HGNC:16392]"
115548,"FCHO2","protein_coding","FCH domain only 2 [Source:HGNC Symbol;Acc:HGNC:25180]"
116931,"MED12L","protein_coding","mediator complex subunit 12 like [Source:HGNC Symbol;Acc:HGNC:16050]"
117178,"SSX2IP","protein_coding","SSX family member 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:16509]"
118471,"PRAP1","protein_coding","proline rich acidic protein 1 [Source:HGNC Symbol;Acc:HGNC:23304]"
121512,"FGD4","protein_coding","FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]"
122416,"ANKRD9","protein_coding","ankyrin repeat domain 9 [Source:HGNC Symbol;Acc:HGNC:20096]"
122525,"C14orf28","protein_coding","chromosome 14 open reading frame 28 [Source:HGNC Symbol;Acc:HGNC:19834]"
122786,"FRMD6","protein_coding","FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839]"
125228,"FAM210A","protein_coding","family with sequence similarity 210 member A [Source:HGNC Symbol;Acc:HGNC:28346]"
126382,"NR2C2AP","protein_coding","nuclear receptor 2C2 associated protein [Source:HGNC Symbol;Acc:HGNC:30763]"
1264,"CNN1","protein_coding","calponin 1 [Source:HGNC Symbol;Acc:HGNC:2155]"
128025,"WDR64","protein_coding","WD repeat domain 64 [Source:HGNC Symbol;Acc:HGNC:26570]"
128637,"TBC1D20","protein_coding","TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133]"
129285,"PPP1R21","protein_coding","protein phosphatase 1 regulatory subunit 21 [Source:HGNC Symbol;Acc:HGNC:30595]"
129401,"NUP35","protein_coding","nucleoporin 35 [Source:HGNC Symbol;Acc:HGNC:29797]"
1297,"COL9A1","protein_coding","collagen type IX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2217]"
13,"AADAC","protein_coding","arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]"
130497,"OSR1","protein_coding","odd-skipped related transciption factor 1 [Source:HGNC Symbol;Acc:HGNC:8111]"
130916,"MTERF4","protein_coding","mitochondrial transcription termination factor 4 [Source:HGNC Symbol;Acc:HGNC:28785]"
131544,"CRYBG3","protein_coding","crystallin beta-gamma domain containing 3 [Source:HGNC Symbol;Acc:HGNC:34427]"
135295,"SRSF12","protein_coding","serine and arginine rich splicing factor 12 [Source:HGNC Symbol;Acc:HGNC:21220]"
138639,"PTPDC1","protein_coding","protein tyrosine phosphatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30184]"
139231,"FAM199X","protein_coding","family with sequence similarity 199, X-linked [Source:HGNC Symbol;Acc:HGNC:25195]"
1398,"CRK","protein_coding","CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]"
140453,"MUC17","protein_coding","mucin 17, cell surface associated [Source:HGNC Symbol;Acc:HGNC:16800]"
140462,"ASB9","protein_coding","ankyrin repeat and SOCS box containing 9 [Source:HGNC Symbol;Acc:HGNC:17184]"
1408,"CRY2","protein_coding","cryptochrome circadian regulator 2 [Source:HGNC Symbol;Acc:HGNC:2385]"
143279,"HECTD2","protein_coding","HECT domain E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:26736]"
145501,"ISM2","protein_coding","isthmin 2 [Source:HGNC Symbol;Acc:HGNC:23176]"
146434,"ZNF597","protein_coding","zinc finger protein 597 [Source:HGNC Symbol;Acc:HGNC:26573]"
152273,"FGD5","protein_coding","FYVE, RhoGEF and PH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:19117]"
152485,"ZNF827","protein_coding","zinc finger protein 827 [Source:HGNC Symbol;Acc:HGNC:27193]"
153222,"CREBRF","protein_coding","CREB3 regulatory factor [Source:HGNC Symbol;Acc:HGNC:24050]"
153339,"TMEM167A","protein_coding","transmembrane protein 167A [Source:HGNC Symbol;Acc:HGNC:28330]"
154214,"RNF217","protein_coding","ring finger protein 217 [Source:HGNC Symbol;Acc:HGNC:21487]"
154743,"BMT2","protein_coding","base methyltransferase of 25S rRNA 2 homolog [Source:HGNC Symbol;Acc:HGNC:26475]"
158747,"MOSPD2","protein_coding","motile sperm domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28381]"
1601,"DAB2","protein_coding","DAB2, clathrin adaptor protein [Source:HGNC Symbol;Acc:HGNC:2662]"
160518,"DENND5B","protein_coding","DENN domain containing 5B [Source:HGNC Symbol;Acc:HGNC:28338]"
161742,"SPRED1","protein_coding","sprouty related EVH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20249]"
162073,"ITPRIPL2","protein_coding","ITPRIP like 2 [Source:HGNC Symbol;Acc:HGNC:27257]"
163,"AP2B1","protein_coding","adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]"
1655,"DDX5","protein_coding","DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]"
168455,"CCDC71L","protein_coding","coiled-coil domain containing 71 like [Source:HGNC Symbol;Acc:HGNC:26685]"
168850,"ZNF800","protein_coding","zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267]"
169200,"TMEM64","protein_coding","transmembrane protein 64 [Source:HGNC Symbol;Acc:HGNC:25441]"
169792,"GLIS3","protein_coding","GLIS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:28510]"
171169,"SPACA4","protein_coding","sperm acrosome associated 4 [Source:HGNC Symbol;Acc:HGNC:16441]"
1783,"DYNC1LI2","protein_coding","dynein cytoplasmic 1 light intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2966]"
1844,"DUSP2","protein_coding","dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]"
1850,"DUSP8","protein_coding","dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:HGNC:3074]"
1869,"E2F1","protein_coding","E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]"
1875,"E2F5","protein_coding","E2F transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3119]"
19,"ABCA1","protein_coding","ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]"
1901,"S1PR1","protein_coding","sphingosine-1-phosphate receptor 1 [Source:HGNC Symbol;Acc:HGNC:3165]"
195828,"ZNF367","protein_coding","zinc finger protein 367 [Source:HGNC Symbol;Acc:HGNC:18320]"
1959,"EGR2","protein_coding","early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]"
2004,"ELK3","protein_coding","ELK3, ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:3325]"
2005,"ELK4","protein_coding","ELK4, ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:3326]"
2043,"EPHA4","protein_coding","EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]"
2044,"EPHA5","protein_coding","EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]"
2069,"EREG","protein_coding","epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]"
2115,"ETV1","protein_coding","ETS variant 1 [Source:HGNC Symbol;Acc:HGNC:3490]"
2145,"EZH1","protein_coding","enhancer of zeste 1 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3526]"
2152,"F3","protein_coding","coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]"
2182,"ACSL4","protein_coding","acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]"
219287,"AMER2","protein_coding","APC membrane recruitment protein 2 [Source:HGNC Symbol;Acc:HGNC:26360]"
219527,"LRRC55","protein_coding","leucine rich repeat containing 55 [Source:HGNC Symbol;Acc:HGNC:32324]"
219621,"CABCOCO1","protein_coding","ciliary associated calcium binding coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:28678]"
220042,"DDIAS","protein_coding","DNA damage induced apoptosis suppressor [Source:HGNC Symbol;Acc:HGNC:26351]"
220213,"OTUD1","protein_coding","OTU deubiquitinase 1 [Source:HGNC Symbol;Acc:HGNC:27346]"
221035,"REEP3","protein_coding","receptor accessory protein 3 [Source:HGNC Symbol;Acc:HGNC:23711]"
221504,"ZBTB9","protein_coding","zinc finger and BTB domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28323]"
221895,"JAZF1","protein_coding","JAZF zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:28917]"
222171,"PRR15","protein_coding","proline rich 15 [Source:HGNC Symbol;Acc:HGNC:22310]"
222236,"NAPEPLD","protein_coding","N-acyl phosphatidylethanolamine phospholipase D [Source:HGNC Symbol;Acc:HGNC:21683]"
222537,"HS3ST5","protein_coding","heparan sulfate-glucosamine 3-sulfotransferase 5 [Source:HGNC Symbol;Acc:HGNC:19419]"
223,"ALDH9A1","protein_coding","aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]"
22807,"IKZF2","protein_coding","IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]"
22862,"FNDC3A","protein_coding","fibronectin type III domain containing 3A [Source:HGNC Symbol;Acc:HGNC:20296]"
22865,"SLITRK3","protein_coding","SLIT and NTRK like family member 3 [Source:HGNC Symbol;Acc:HGNC:23501]"
22884,"WDR37","protein_coding","WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]"
22887,"FOXJ3","protein_coding","forkhead box J3 [Source:HGNC Symbol;Acc:HGNC:29178]"
22893,"BAHD1","protein_coding","bromo adjacent homology domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29153]"
22924,"MAPRE3","protein_coding","microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892]"
22927,"HABP4","protein_coding","hyaluronan binding protein 4 [Source:HGNC Symbol;Acc:HGNC:17062]"
22992,"KDM2A","protein_coding","lysine demethylase 2A [Source:HGNC Symbol;Acc:HGNC:13606]"
23023,"TMCC1","protein_coding","transmembrane and coiled-coil domain family 1 [Source:HGNC Symbol;Acc:HGNC:29116]"
23092,"ARHGAP26","protein_coding","Rho GTPase activating protein 26 [Source:HGNC Symbol;Acc:HGNC:17073]"
23093,"TTLL5","protein_coding","tubulin tyrosine ligase like 5 [Source:HGNC Symbol;Acc:HGNC:19963]"
23112,"TNRC6B","protein_coding","trinucleotide repeat containing 6B [Source:HGNC Symbol;Acc:HGNC:29190]"
23143,"LRCH1","protein_coding","leucine rich repeats and calponin homology domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20309]"
23173,"METAP1","protein_coding","methionyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:15789]"
23179,"RGL1","protein_coding","ral guanine nucleotide dissociation stimulator like 1 [Source:HGNC Symbol;Acc:HGNC:30281]"
23219,"FBXO28","protein_coding","F-box protein 28 [Source:HGNC Symbol;Acc:HGNC:29046]"
23261,"CAMTA1","protein_coding","calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]"
23299,"BICD2","protein_coding","BICD cargo adaptor 2 [Source:HGNC Symbol;Acc:HGNC:17208]"
23327,"NEDD4L","protein_coding","neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]"
23328,"SASH1","protein_coding","SAM and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19182]"
23350,"U2SURP","protein_coding","U2 snRNP associated SURP domain containing [Source:HGNC Symbol;Acc:HGNC:30855]"
23358,"USP24","protein_coding","ubiquitin specific peptidase 24 [Source:HGNC Symbol;Acc:HGNC:12623]"
23414,"ZFPM2","protein_coding","zinc finger protein, FOG family member 2 [Source:HGNC Symbol;Acc:HGNC:16700]"
23503,"ZFYVE26","protein_coding","zinc finger FYVE-type containing 26 [Source:HGNC Symbol;Acc:HGNC:20761]"
23608,"MKRN1","protein_coding","makorin ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:7112]"
24147,"FJX1","protein_coding","four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]"
253559,"CADM2","protein_coding","cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849]"
2549,"GAB1","protein_coding","GRB2 associated binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4066]"
2553,"GABPB1","protein_coding","GA binding protein transcription factor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4074]"
256471,"MFSD8","protein_coding","major facilitator superfamily domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28486]"
25769,"SLC24A2","protein_coding","solute carrier family 24 member 2 [Source:HGNC Symbol;Acc:HGNC:10976]"
25805,"BAMBI","protein_coding","BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]"
25852,"ARMC8","protein_coding","armadillo repeat containing 8 [Source:HGNC Symbol;Acc:HGNC:24999]"
259230,"SGMS1","protein_coding","sphingomyelin synthase 1 [Source:HGNC Symbol;Acc:HGNC:29799]"
25966,"C2CD2","protein_coding","C2 calcium dependent domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1266]"
25984,"KRT23","protein_coding","keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]"
26038,"CHD5","protein_coding","chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]"
260425,"MAGI3","protein_coding","membrane associated guanylate kinase, WW and PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29647]"
26056,"RAB11FIP5","protein_coding","RAB11 family interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:24845]"
26156,"RSL1D1","protein_coding","ribosomal L1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24534]"
26234,"FBXL5","protein_coding","F-box and leucine rich repeat protein 5 [Source:HGNC Symbol;Acc:HGNC:13602]"
26278,"SACS","protein_coding","sacsin molecular chaperone [Source:HGNC Symbol;Acc:HGNC:10519]"
26468,"LHX6","protein_coding","LIM homeobox 6 [Source:HGNC Symbol;Acc:HGNC:21735]"
26512,"INTS6","protein_coding","integrator complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:14879]"
26959,"HBP1","protein_coding","HMG-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:23200]"
26960,"NBEA","protein_coding","neurobeachin [Source:HGNC Symbol;Acc:HGNC:7648]"
27230,"SERP1","protein_coding","stress associated endoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:10759]"
27235,"COQ2","protein_coding","coenzyme Q2, polyprenyltransferase [Source:HGNC Symbol;Acc:HGNC:25223]"
27242,"TNFRSF21","protein_coding","TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]"
2799,"GNS","protein_coding","glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]"
2830,"GPR6","protein_coding","G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:4515]"
283025,"LINC01553","lincRNA","long intergenic non-protein coding RNA 1553 [Source:HGNC Symbol;Acc:HGNC:23524]"
283209,"PGM2L1","protein_coding","phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898]"
283373,"ANKRD52","protein_coding","ankyrin repeat domain 52 [Source:HGNC Symbol;Acc:HGNC:26614]"
283537,"SLC46A3","protein_coding","solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501]"
283554,"GPR137C","protein_coding","G protein-coupled receptor 137C [Source:HGNC Symbol;Acc:HGNC:25445]"
284697,"BTBD8","protein_coding","BTB domain containing 8 [Source:HGNC Symbol;Acc:HGNC:21019]"
28512,"NKIRAS1","protein_coding","NFKB inhibitor interacting Ras like 1 [Source:HGNC Symbol;Acc:HGNC:17899]"
285175,"UNC80","protein_coding","unc-80 homolog, NALCN channel complex subunit [Source:HGNC Symbol;Acc:HGNC:26582]"
285704,"RGMB","protein_coding","repulsive guidance molecule BMP co-receptor b [Source:HGNC Symbol;Acc:HGNC:26896]"
287,"ANK2","protein_coding","ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]"
2872,"MKNK2","protein_coding","MAP kinase interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]"
29028,"ATAD2","protein_coding","ATPase family, AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]"
29126,"CD274","protein_coding","CD274 molecule [Source:HGNC Symbol;Acc:HGNC:17635]"
29800,"ZDHHC1","protein_coding","zinc finger DHHC-type containing 1 [Source:HGNC Symbol;Acc:HGNC:17916]"
29959,"NRBP1","protein_coding","nuclear receptor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7993]"
29988,"SLC2A8","protein_coding","solute carrier family 2 member 8 [Source:HGNC Symbol;Acc:HGNC:13812]"
30061,"SLC40A1","protein_coding","solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909]"
3035,"HARS","protein_coding","histidyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:4816]"
3037,"HAS2","protein_coding","hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]"
30813,"VSX1","protein_coding","visual system homeobox 1 [Source:HGNC Symbol;Acc:HGNC:12723]"
3131,"HLF","protein_coding","HLF, PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:4977]"
323,"APBB2","protein_coding","amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]"
3268,"AGFG2","protein_coding","ArfGAP with FG repeats 2 [Source:HGNC Symbol;Acc:HGNC:5177]"
3312,"HSPA8","protein_coding","heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]"
338339,"CLEC4D","protein_coding","C-type lectin domain family 4 member D [Source:HGNC Symbol;Acc:HGNC:14554]"
339745,"SPOPL","protein_coding","speckle type BTB/POZ protein like [Source:HGNC Symbol;Acc:HGNC:27934]"
341947,"COX8C","protein_coding","cytochrome c oxidase subunit 8C [Source:HGNC Symbol;Acc:HGNC:24382]"
342371,"ATXN1L","protein_coding","ataxin 1 like [Source:HGNC Symbol;Acc:HGNC:33279]"
344148,"NCKAP5","protein_coding","NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]"
351,"APP","protein_coding","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]"
3576,"CXCL8","protein_coding","C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]"
3659,"IRF1","protein_coding","interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]"
3696,"ITGB8","protein_coding","integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]"
3716,"JAK1","protein_coding","Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]"
375757,"SWI5","protein_coding","SWI5 homologous recombination repair protein [Source:HGNC Symbol;Acc:HGNC:31412]"
3838,"KPNA2","protein_coding","karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]"
387921,"NHLRC3","protein_coding","NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751]"
389,"RHOC","protein_coding","ras homolog family member C [Source:HGNC Symbol;Acc:HGNC:669]"
390598,"SKOR1","protein_coding","SKI family transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:21326]"
3909,"LAMA3","protein_coding","laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]"
392,"ARHGAP1","protein_coding","Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:673]"
3949,"LDLR","protein_coding","low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]"
400,"ARL1","protein_coding","ADP ribosylation factor like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:692]"
401474,"SAMD12","protein_coding","sterile alpha motif domain containing 12 [Source:HGNC Symbol;Acc:HGNC:31750]"
4089,"SMAD4","protein_coding","SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]"
4090,"SMAD5","protein_coding","SMAD family member 5 [Source:HGNC Symbol;Acc:HGNC:6771]"
4170,"MCL1","protein_coding","MCL1, BCL2 family apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:6943]"
4204,"MECP2","protein_coding","methyl-CpG binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6990]"
4293,"MAP3K9","protein_coding","mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]"
4297,"KMT2A","protein_coding","lysine methyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:7132]"
4314,"MMP3","protein_coding","matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]"
431707,"LHX8","protein_coding","LIM homeobox 8 [Source:HGNC Symbol;Acc:HGNC:28838]"
4520,"MTF1","protein_coding","metal regulatory transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7428]"
4591,"TRIM37","protein_coding","tripartite motif containing 37 [Source:HGNC Symbol;Acc:HGNC:7523]"
4613,"MYCN","protein_coding","MYCN proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7559]"
4781,"NFIB","protein_coding","nuclear factor I B [Source:HGNC Symbol;Acc:HGNC:7785]"
4862,"NPAS2","protein_coding","neuronal PAS domain protein 2 [Source:HGNC Symbol;Acc:HGNC:7895]"
4929,"NR4A2","protein_coding","nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]"
5008,"OSM","protein_coding","oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]"
5025,"P2RX4","protein_coding","purinergic receptor P2X 4 [Source:HGNC Symbol;Acc:HGNC:8535]"
5048,"PAFAH1B1","protein_coding","platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]"
50488,"MINK1","protein_coding","misshapen like kinase 1 [Source:HGNC Symbol;Acc:HGNC:17565]"
5090,"PBX3","protein_coding","PBX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:8634]"
51009,"DERL2","protein_coding","derlin 2 [Source:HGNC Symbol;Acc:HGNC:17943]"
51046,"ST8SIA3","protein_coding","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:14269]"
51111,"KMT5B","protein_coding","lysine methyltransferase 5B [Source:HGNC Symbol;Acc:HGNC:24283]"
51114,"ZDHHC9","protein_coding","zinc finger DHHC-type containing 9 [Source:HGNC Symbol;Acc:HGNC:18475]"
51128,"SAR1B","protein_coding","secretion associated Ras related GTPase 1B [Source:HGNC Symbol;Acc:HGNC:10535]"
51148,"CERCAM","protein_coding","cerebral endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:23723]"
51155,"JPT1","protein_coding","Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]"
51232,"CRIM1","protein_coding","cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]"
51248,"PDZD11","protein_coding","PDZ domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28034]"
51274,"KLF3","protein_coding","Kruppel like factor 3 [Source:HGNC Symbol;Acc:HGNC:16516]"
51277,"DNAJC27","protein_coding","DnaJ heat shock protein family (Hsp40) member C27 [Source:HGNC Symbol;Acc:HGNC:30290]"
51334,"PRR16","protein_coding","proline rich 16 [Source:HGNC Symbol;Acc:HGNC:29654]"
51341,"ZBTB7A","protein_coding","zinc finger and BTB domain containing 7A [Source:HGNC Symbol;Acc:HGNC:18078]"
51347,"TAOK3","protein_coding","TAO kinase 3 [Source:HGNC Symbol;Acc:HGNC:18133]"
51366,"UBR5","protein_coding","ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:HGNC:16806]"
5140,"PDE3B","protein_coding","phosphodiesterase 3B [Source:HGNC Symbol;Acc:HGNC:8779]"
